SKU|BRANCH|PRICE|STOCK
119034|MM|55.8|-4
83697||64.5|-1
290070|HRO|47.1|-4
264049|RHSM|64.8|0
144039|MS|53.1|0
268068|MM|89.1|4
225374|MS|82.2|-1
82080|RHSM|48.0|4
259762|HRO|17.7|-4
84964|HRO|20.4|2
262330|RHSM|43.2|0
266390|MM|53.4|-4
70521|HRO|73.2|0
304905||70.2|3
81987||61.8|-4
161896|RHSM|79.2|5
217711|HRO|31.2|5
57673|HRO|30.6|-3
16662|MM|33.3|4
160386|MS|49.2|-4
78696|HRO|18.9|0
183881||27.3|0
64822|MM|63.6|5
212567||86.4|-1
124391|RHSM|19.2|4
170620||84.9|4
137233|MS|31.8|-4
107180|HRO|48.9|5
277222|MS|28.8|-4
306841|MS|27.9|3
20811|MM|74.7|0
74595||11.4|4
285072||32.1|5
14893|HRO|82.5|-1
